,0
1,10.775262961443724
2,9.118713353366296
3,16.690179078904478
4,13.914760616528465
5,19.382715505522782
6,18.63231979521987
7,20.265153419202424
8,16.799389372070102
9,7.588209927689406
10,4.780723926156231
11,10.700672665586062
12,12.602728840828682
13,15.317968115677353
14,12.70052271869304
15,12.526009992519073
16,10.196094977778163
17,12.993289250623121
18,8.729094515902231
19,65.2003292691236
20,77.51733066196633
21,25.575327049007907
22,22.73757521174156
23,9.386015130359617
24,7.868586872489857
25,11.412262438982308
26,8.028041749512935
27,10.738097221880558
28,17.620385841697868
29,14.78272356831737
30,12.950955951883234
31,12.930398292573779
32,18.115723487261924
33,10.892700346991687
34,17.348469456009358
35,17.971558972158018
36,28.999574249418927
37,10.241770073644803
38,13.752777159841433
39,13.066413230978949
40,19.80550764201802
41,23.34254095848836
42,21.99986749525878
43,19.450727333305313
44,16.696673236379485
45,29.65912989425287
46,23.432860697956524
47,11.7986404252115
48,8.410815622765314
49,8.710368487403569
50,3.259806570350358
51,8.045887484689914
52,7.658983773575164
53,11.159790881349284
54,8.620771831453764
55,12.299691616527683
56,9.431244770044646
57,8.744979923127344
58,5.863060579437184
59,15.171735474346134
60,12.26626181951809
61,11.828524473462831
62,19.447476013505998
63,8.302036780227482
64,4.704964943168551
65,6.949489387601277
66,7.9893908112540375
67,17.628332543665334
68,16.680048085161612
69,5.381993887756637
70,10.005195577529362
71,12.355896793525837
72,13.231688565503417
