,0
1,9.181717396988633
2,8.576664755705446
3,8.562699171341285
4,7.22972709510603
5,10.099057860989133
6,8.014278930403217
7,10.120520226329203
8,17.35249531201252
9,10.321873882556808
10,6.279466098414143
11,7.9259369100617825
12,8.494878056530554
13,5.5181816992446
14,5.2128206757978175
15,6.378419644623845
16,6.8619693855440795
17,8.763161248206838
18,7.551679838545856
19,70.9005777979424
20,98.17790432831605
21,15.247688133706207
22,9.471416278759747
23,12.938725542509232
24,9.05004707964207
25,11.367646655231038
26,6.471610976521191
27,9.325362730831097
28,11.365625577332047
29,8.033795310158768
30,8.308818079307299
31,12.109442235337028
32,21.544625418863326
33,21.24724968777608
34,19.660669202253818
35,11.123933134340893
36,21.672730114497572
37,7.460903064293477
38,9.299033244384228
39,22.54703832695482
40,24.7996055517113
41,14.698437054957381
42,13.35325480545242
43,21.047584604905165
44,24.3766720719576
45,19.12238837895386
46,14.023207288880212
47,14.338169193448378
48,11.089966263552824
49,8.148544439283697
50,4.941524608500177
51,11.508476662891358
52,8.083802878194694
53,9.272952800800708
54,8.547740521122753
55,3.8007918926370063
56,5.90442463584455
57,9.141662751164777
58,8.343581495192504
59,10.386705466025015
60,15.596201673260191
61,4.066080426113467
62,8.95458622048325
63,7.723467104552327
64,3.566106290402829
65,8.772647430046106
66,11.774774702311783
67,22.704618891932903
68,19.76589102023109
69,3.29965801507544
70,8.653762514925631
71,6.880179026937645
72,16.38705257634895
