,0
1,9.592265642745849
2,8.929930062624921
3,12.790375887672138
4,11.560133539350078
5,7.821400433899205
6,15.554123391317285
7,15.169889718610056
8,13.624480773578886
9,9.566797738025453
10,3.2260038245780427
11,7.604249852313949
12,7.79067444627224
13,4.601789336516913
14,6.021003716564536
15,6.043172753234337
16,5.231215046968953
17,7.088962564643921
18,7.047614357973454
19,57.973975676909944
20,76.5171994139068
21,11.468452675763308
22,7.712082853162756
23,7.412705559225723
24,4.9027385381726685
25,11.379964363922694
26,5.4381931433352415
27,7.586973085161968
28,14.328757326519897
29,7.662327394220158
30,8.537348621887583
31,8.37354171961616
32,12.011805392684439
33,12.04835668796785
34,13.935613927307143
35,12.884939621487643
36,23.558674091856556
37,7.447271252396683
38,12.837080385893193
39,15.382159459748799
40,12.390601827885861
41,15.652249623563883
42,16.914495302191877
43,18.261266432170878
44,25.37417935913598
45,19.206632568624592
46,17.3662574953399
47,8.90018566279258
48,7.2895483553431415
49,7.372967752314801
50,2.4123094158805682
51,12.850638024362015
52,8.239259668455157
53,8.509913145903194
54,6.602797744644883
55,6.135392440189469
56,5.9638239877439725
57,6.620074419922183
58,3.643180139016204
59,24.460481434764162
60,15.30515342964798
61,3.114877821643135
62,8.853038678710831
63,5.511956341545615
64,3.1602644498457577
65,5.06551182755719
66,4.5690371571343
67,19.120981404990857
68,19.835196128179945
69,5.694126071428195
70,8.738161744373327
71,6.569881808560796
72,11.883150513382093
